# x  y  peak_value  net_flux  bg_per_pixel  magnitude  mag_error
420 358 3448.00 160.09 3426.84 19.7891 0.0200
764 397 3448.00 226.10 3421.30 19.4142 0.0200
409 477 3448.00 243.80 3426.71 19.3324 0.0200
213 611 3448.00 165.39 3422.97 19.7537 0.0200
162 94 3447.00 148.02 3430.46 19.8742 0.0200
568 128 3447.00 153.13 3425.99 19.8373 0.0200
311 204 3447.00 554.50 3421.19 18.4403 0.0200
724 269 3447.00 31.90 3439.47 21.5406 0.0200
247 368 3447.00 162.99 3429.54 19.7696 0.0200
503 455 3447.00 154.32 3423.36 19.8289 0.0200
454 604 3447.00 493.59 3422.95 18.5666 0.0200
0 152 3446.00 309.22 3424.77 19.0743 0.0200
414 177 3446.00 443.57 3423.50 18.6826 0.0200
798 388 3446.00 230.50 3421.50 19.3933 0.0200
162 528 3446.00 167.52 3425.19 19.7399 0.0200
820 531 3446.00 199.81 3424.17 19.5485 0.0200
726 211 3445.00 192.99 3422.77 19.5862 0.0200
382 214 3445.00 212.57 3421.11 19.4812 0.0200
831 386 3445.00 844.48 3419.36 17.9835 0.0200
317 94 3444.00 184.03 3421.69 19.6378 0.0200
3 176 3444.00 156.63 3426.11 19.8128 0.0200
792 248 3444.00 156.95 3427.77 19.8106 0.0200
212 261 3444.00 454.40 3420.23 18.6564 0.0200
201 293 3444.00 447.01 3422.90 18.6742 0.0200
350 328 3444.00 173.05 3423.15 19.7046 0.0200
